held_out_group,held_out_magic_generation,formal_count,formal_accepted,formal_rejected,formal_accept_rate,magic_count,magic_rejected,magic_accepted,magic_reject_rate,balanced_accuracy,auc,threshold,calibration_formal_accept_rate,calibration_magic_reject_rate,calibration_worst_group_frr
lxj,Gen 1a,43,43,0,1.0,28,28,0,1.0,1.0,1.0,0.5495776259721933,1.0,1.0,0.0
lyl,Gen 1a,45,45,0,1.0,23,23,0,1.0,1.0,1.0,0.5527181463685796,1.0,1.0,0.0
pcfe,Gen 2/CUID,58,53,5,0.9137931034482759,29,29,0,1.0,0.9568965517241379,0.9970273483947681,0.5346083057947916,1.0,1.0,0.0
szc,Gen 1a,47,47,0,1.0,25,25,0,1.0,1.0,1.0,0.5588437258090744,1.0,1.0,0.0
ypz,Gen 1a,47,46,1,0.9787234042553191,20,20,0,1.0,0.9893617021276595,0.9925531914893617,0.5230662233444218,1.0,1.0,0.0
zxh,Gen 2/CUID,54,54,0,1.0,30,30,0,1.0,1.0,1.0,0.5528895688741835,1.0,1.0,0.0
