file,label,card_id,batch_id,sample_count,mean,std,rms,mean_abs,centered_mean_abs,median,mad_median,q05,q25,q75,q95,iqr,skewness,kurtosis_excess,amplitude_entropy,clip_pos_frac,clip_neg_frac,clip_total_frac,near_zero_frac,abs_gt_32_frac,abs_gt_64_frac,abs_gt_96_frac,active_frac_0_5std,active_frac_1std,active_frac_2std,d1_rms,d1_mean_abs,norm_d1_rms,norm_d1_mean_abs,norm_d2_rms,d1_abs_q50,d1_abs_q90,d1_abs_q95,d1_zero_frac,d1_gt_16_frac,d1_gt_32_frac,d1_gt_64_frac,zcr_centered,slope_change_rate,autocorr_1,autocorr_2,autocorr_4,autocorr_8,autocorr_16,autocorr_32,autocorr_64,autocorr_128,lagdiff_norm_2,lagdiff_norm_4,lagdiff_norm_8,lagdiff_norm_16,lagdiff_norm_32,local_rms_cv,local_abs_cv,energy_time_center,energy_time_spread,energy_first_half_frac,active_runs_per_ksample,active_longest_frac,spec_centroid_norm,spec_bandwidth_norm,spec_entropy,spec_flatness,spec_rolloff50_norm,spec_rolloff85_norm,spec_rolloff95_norm,spec_peak_norm,band_000_010k_frac,band_010_030k_frac,band_030_060k_frac,band_060_090k_frac,band_090_130k_frac,band_130_200k_frac,band_200_350k_frac,band_350_600k_frac,band_600_nyquist_frac,spec_low_mid_log_ratio,spec_high_low_log_ratio
C:\Users\李\Desktop\WorkDocument\Grade3-b\Singapore\rrg_other\client\fingerprint_data\lxj\stages\read_block0\formal-20260724T015613346441Z-48d1054f.pm3,formal,lxj,lxj,36243,-11.604558121568303,20.611879048276737,23.654076331525747,14.504704356703364,10.373475651723524,-11.0,8.0,-26.0,-20.0,-3.0,0.0,17.0,1.6215237388972472,29.398452451402946,0.5999660290941566,0.010898656292249538,0.009767403360648953,0.02066605965289849,0.3085837265127059,0.022018044863835774,0.021411031095659852,0.021024749606820627,0.38277736390475403,0.02229396021300665,0.021769721049581987,31.67615094534043,4.5003311075547705,1.5367910354582022,0.21833677060757942,2.8423733313601587,0.0,1.0,1.0,0.5614204514099663,0.017162408255615033,0.016720931515920755,0.016610562330997187,0.030296341261519782,0.16133660770950028,-0.18156839221395157,0.3194678644717044,0.21754422844867177,0.12338796690420423,0.26804047148318,0.17759752616566962,0.08202331708115905,-0.09882716598215692,1.1660621391043349,1.249590988869461,1.3213121041065714,1.2048431925939311,1.2717023299616323,1.23330275597876,0.9587915322380864,0.1144598324156749,0.22196071457209035,0.9078905349215909,0.3310984190050492,0.009215572662307204,0.5110283510748935,0.3592419138391953,0.7852360591397185,0.2844539663785404,0.61181640625,0.89794921875,0.9521484375,0.00537109375,0.26733575112929464,0.004053256141273916,0.004596647551234079,0.003005954319940389,0.005570818750986936,0.009315800095837969,0.06534589264860721,0.24936357654921343,0.3914123028136115,1.2462528936290604,0.8314980469915542
C:\Users\李\Desktop\WorkDocument\Grade3-b\Singapore\rrg_other\client\fingerprint_data\lxj\stages\read_block0\formal-20260724T015626693082Z-fb1a95ed.pm3,formal,lxj,lxj,36243,-11.76318185580664,20.683492693755753,23.794522844247712,14.776729299450928,10.400681748664192,-12.0,8.0,-26.0,-20.0,-4.0,0.0,16.0,1.7047774408208598,28.880442833505626,0.6029550393466298,0.010126093314571089,0.009601854151146429,0.01972794746571752,0.29812653477912976,0.022569875562177523,0.021907678724167424,0.021162707281406064,0.34470104571917337,0.02281819937643131,0.022321551747923735,31.453971546222462,4.459770432095359,1.520728245076242,0.21561979391622493,2.804017868201076,0.0,1.0,1.0,0.5560399536449423,0.01749351581038574,0.01652778544230451,0.01605871640637934,0.029385795485900337,0.16489611213818603,-0.15699627505859087,0.305073847049703,0.2751603963025616,0.2663503898969435,0.2838513900554234,0.2435652876241637,0.1334971958745251,-0.09059078488170533,1.1782175078103285,1.202707575068108,1.208785915425399,1.1917780469611718,1.2196894055336462,1.2383687030494817,0.9713973630830959,0.11270887821250918,0.22112548106018415,0.9089832713442717,0.19314074441961207,0.009132798057555942,0.5022987770142132,0.36751773079343814,0.7760192844836662,0.2839068536218543,0.61181640625,0.9130859375,0.9873046875,0.00537109375,0.286628641469598,0.005064572478615058,0.0029018324671034783,0.003237735935140799,0.0039070713317823965,0.01170711630809049,0.054209852205858236,0.23476181005992272,0.39758136774388875,1.4505538350782385,0.752900053667333
C:\Users\李\Desktop\WorkDocument\Grade3-b\Singapore\rrg_other\client\fingerprint_data\lxj\stages\read_block0\formal-20260724T015635913960Z-d57d8e78.pm3,formal,lxj,lxj,36243,-13.143862263057693,18.9584750358579,23.06913285920126,15.11765030488646,10.063951605274518,-13.0,9.0,-27.0,-22.0,-4.0,-1.0,18.0,0.9828363249125777,32.23243754678369,0.6099382304482255,0.007587672102199045,0.008856882708385068,0.016444554810584114,0.27815026349915845,0.02069365118781558,0.018375962254780234,0.01724470932317965,0.43633253317882076,0.021052341141737714,0.019562398256214992,25.28789642150263,3.4334473814910877,1.3338570941847017,0.18110356318201196,2.443667544459774,0.0,1.0,1.0,0.5355664698416203,0.017548700402847527,0.017052039070691465,0.014568732409911153,0.025246951051266488,0.1786374548163682,0.10976581709855054,0.43158067274164336,0.41264437746189886,0.4401972627960895,0.4139124692383186,0.3562694247131355,0.23275245909377287,-0.08118702610041166,1.0655882508843155,1.082404611220641,1.0554458466491594,1.0772084213611486,1.1230435162843881,1.126641853527565,0.8363949186396955,0.12709295183891742,0.24172000590382564,0.8889491372395414,1.8762243743619458,0.00430427944706564,0.21858825572516574,0.3433834979901009,0.5840826057179092,0.13820934177525362,0.005859375,0.75439453125,0.91064453125,0.00537109375,0.6668427258011728,0.025111644939225297,0.0050092418523335095,0.0021767558804087813,0.0056592925028124815,0.006467049678868852,0.012884988455738306,0.09492141284641895,0.1809268880430207,3.3305225876119358,-0.9300004551834172
C:\Users\李\Desktop\WorkDocument\Grade3-b\Singapore\rrg_other\client\fingerprint_data\lxj\stages\read_block0\formal-20260724T015638609370Z-990cb84c.pm3,formal,lxj,lxj,36243,-12.501034682559391,20.77245468888598,24.243983623496653,15.494550671853876,10.499756101200141,-12.0,8.0,-27.0,-21.0,-4.0,-1.0,17.0,1.8223104630617841,29.047612853527575,0.6080367076548181,0.011009022431917887,0.009325938801975554,0.02033496123389344,0.27723974284689457,0.022569875562177523,0.021686946444830726,0.02110752421157189,0.39671108903788316,0.022680241701845873,0.022238777143172475,31.579755736112322,4.48763865128856,1.5202707724768147,0.21603795596144015,2.7981065127259583,0.0,1.0,1.0,0.5393190221290216,0.016941669885767893,0.016472600849842724,0.0161966778875338,0.029275426300976768,0.16114345630639332,-0.15630593748086832,0.2912757906725346,0.25184105543938007,0.21661985625778366,0.22207687393325054,0.24650954789800156,0.06882452616071112,-0.10369090631241444,1.1898520063420504,1.2218961302226847,1.2489484132918216,1.241967044388125,1.2171355251290732,1.2300826546612875,0.964745267031113,0.1148509291752371,0.2225880372056639,0.9073069216480756,0.19314074441961207,0.009132798057555942,0.5019769865319113,0.36332984850833483,0.7823920984469148,0.2943490012573682,0.5966796875,0.90234375,0.96630859375,0.00537109375,0.28133339403131286,0.004074520064162608,0.0034188701824259676,0.0032575071386939177,0.005797133111294019,0.011348737300270164,0.05835110071555375,0.2359055570300155,0.3965131804262711,1.3529498919077954,0.7725093041695533
C:\Users\李\Desktop\WorkDocument\Grade3-b\Singapore\rrg_other\client\fingerprint_data\lxj\stages\read_block0\formal-20260724T015643348394Z-feb75409.pm3,formal,lxj,lxj,36243,-12.618547029771266,20.10997233462161,23.741076564507257,15.286979554672627,10.348263653166471,-12.0,8.0,-27.0,-21.0,-4.0,-1.0,17.0,1.492088796905741,29.574696171174267,0.6102145580160392,0.008580967359214193,0.009160389592473029,0.017741356951687222,0.27988853019893495,0.021686946444830726,0.020941975002069364,0.01961758132604917,0.3974284689457275,0.021880087189250337,0.021493805700411112,30.509857677229448,4.370592130677115,1.51715065389241,0.2173345670472476,2.822782713275648,0.0,1.0,1.0,0.5381049610948623,0.01832128469731251,0.01760388499530931,0.016251862479995584,0.028420065117819106,0.16726911509064318,-0.15161156130080572,0.379636172321297,0.2609474891497639,0.199970596605615,0.19660691508220027,0.20081499655925258,0.13199046217560678,-0.15338085701643658,1.1131648990369054,1.2143449079668946,1.2620982269322276,1.2619012580175568,1.2530402730920025,1.1926056598657588,0.9198406697718557,0.12049855238770509,0.22848159875814925,0.9011470037036066,0.7725629776784483,0.009160389592473029,0.4963814117661558,0.3652721261322508,0.775056369457732,0.2926169285766392,0.6142578125,0.890625,0.9541015625,0.00537109375,0.29362375699380894,0.008088159543423906,0.003547208284718144,0.0030220234797340576,0.0029907152696232522,0.010172238106281473,0.049913867514068455,0.24628434189019316,0.38235768891814864,1.5866588229977883,0.7125498005134779
C:\Users\李\Desktop\WorkDocument\Grade3-b\Singapore\rrg_other\client\fingerprint_data\lxj\stages\read_block0\formal-20260724T015648322183Z-74391b45.pm3,formal,lxj,lxj,36243,-12.184477002455647,19.55783088459592,23.04279125309745,14.676378886957481,10.183903386602566,-12.0,8.0,-26.0,-21.0,-4.0,0.0,17.0,1.1113841625803085,30.017489297895573,0.6077582095335039,0.00753248903236487,0.00957426261622934,0.017106751648594213,0.29569847970642604,0.021217890351240238,0.019783130535551693,0.018072455370692273,0.4283033965179483,0.022183594073338298,0.021521397235328203,29.423376997825784,4.237514485955521,1.5044294621138246,0.21666587214909705,2.796040861468764,0.0,1.0,1.0,0.5464654268528227,0.017852215661387342,0.017521108106616633,0.017052039070691465,0.029965233706749077,0.15606633371043846,-0.13241443515289894,0.3813508553616294,0.33019264297416134,0.296199937234374,0.2836088813082568,0.226269546306402,0.13322629970357797,-0.13780329200202598,1.1115922513466954,1.1559921398455748,1.1836337486564465,1.1913586768783393,1.2323861773362326,1.169023768784209,0.8946506386498595,0.1211997670502391,0.23392797669057452,0.8970578251833854,0.5242391634246613,0.0052423916342466135,0.4381392970418555,0.3893855981695528,0.7202541609174883,0.24479216456026578,0.51171875,0.90478515625,0.9619140625,0.00537109375,0.3901070104570736,0.007859234730216907,0.004298511968216339,0.002151442690278791,0.005222557524955388,0.007260649910777167,0.0364515986633667,0.19302283841656,0.353626155638555,2.11195562083943,0.3013623583691541
C:\Users\李\Desktop\WorkDocument\Grade3-b\Singapore\rrg_other\client\fingerprint_data\lxj\stages\read_block0\formal-20260724T015651166180Z-38626c07.pm3,formal,lxj,lxj,36243,-12.383439560742763,19.14256308603305,22.79884420003181,14.59026570648125,10.08994271240474,-12.0,8.0,-26.0,-21.0,-4.0,0.0,17.0,0.9158028260707167,31.37991803266909,0.6066267379659874,0.007477305962530696,0.009657037220980604,0.0171343431835113,0.2954777474270894,0.020445327373561792,0.01829318765002897,0.01743785006759926,0.4309797754049058,0.021576580305162376,0.020003862814888394,27.74032354653258,3.9447878152419844,1.4491436398489759,0.20607417081572593,2.6852368184777395,0.0,1.0,1.0,0.545113404337509,0.017797031068925558,0.017410738921693064,0.017300369736769496,0.02941338778213123,0.1618884688612345,-0.0507489877458371,0.409263789730727,0.36088358463906967,0.3563157611214461,0.3006567717937892,0.24975982681698394,0.16543467751775748,-0.12043276262529273,1.0863185323401907,1.1292642745009072,1.131961898239208,1.1769681127872267,1.213262637607052,1.14324995260224,0.8578837694164554,0.12453558404996896,0.23862425483644012,0.8921678427405209,1.5175344204398091,0.004387054051816903,0.3502562748114464,0.3786477391899883,0.6723779209775718,0.22796548042594342,0.03173828125,0.83544921875,0.958984375,0.00537109375,0.48721951197494795,0.015296765160434697,0.0052747207183904314,0.0020806506477812985,0.005504024666314915,0.007312897223612938,0.02986650622483111,0.17016626054112632,0.2772786628425605,2.4803482798707885,-0.13060557053635619
C:\Users\李\Desktop\WorkDocument\Grade3-b\Singapore\rrg_other\client\fingerprint_data\lxj\stages\read_block0\formal-20260724T015657118919Z-8d1a3433.pm3,formal,lxj,lxj,36243,-11.929089755263085,20.50364916760637,23.72135770940205,14.807162762464475,10.322324082513576,-12.0,8.0,-26.0,-21.0,-4.0,0.0,17.0,1.7756711632920728,29.980364680150792,0.6023156261692398,0.011119388571586238,0.009298347267058466,0.020417735838644705,0.29448445217007424,0.021604171840079463,0.020941975002069364,0.020638468117981403,0.3437905250669095,0.0219628617940016,0.0213006649559915,30.295771262920653,4.1941118039843275,1.4775794794023698,0.20455440734962377,2.6913812051310906,0.0,1.0,1.0,0.5535842392803929,0.016362231664919156,0.015920754925224878,0.015506870481761493,0.02919264941228409,0.15281035291520653,-0.09228285032939494,0.2542595395615111,0.2556944435310836,0.28201481564697284,0.2652017097302063,0.20682541743532643,0.07771818112936542,-0.08447270780950783,1.2205214662850492,1.2187281520179594,1.1956514863534708,1.207110230887327,1.2486407551514547,1.2263206867853425,0.945654728154949,0.11598892222133249,0.22283316994684027,0.9067975567245067,0.6346053030930111,0.009215572662307204,0.4938072711121013,0.3579354917575081,0.7887309083444417,0.2932781170904033,0.59033203125,0.8857421875,0.9833984375,0.00537109375,0.2767304543128388,0.006254869288157289,0.002797512117165824,0.003230843431554166,0.006074148414416698,0.011412900171826742,0.07022494699187365,0.2753817266918892,0.3478925985802777,1.1924153499755994,0.7685127316685963
C:\Users\李\Desktop\WorkDocument\Grade3-b\Singapore\rrg_other\client\fingerprint_data\lxj\stages\read_block0\formal-20260724T015730478259Z-89ca3eb0.pm3,formal,lxj,lxj,36243,-11.736997489170323,20.019284814410835,23.206224909305924,14.528874541290731,10.278129276940566,-12.0,8.0,-26.0,-20.0,-4.0,0.0,16.0,1.5740734393412543,29.686350201093518,0.6052464705077175,0.00905002345280468,0.008746516568716717,0.0177965400215214,0.303562067157796,0.02229396021300665,0.020610876583064316,0.01914852523245868,0.37949397124962064,0.022652650166928787,0.02185249565433325,29.86830308109784,4.275564262457921,1.4919765295310257,0.21357227803563525,2.7285644500328043,0.0,1.0,1.0,0.5545775619447051,0.017852215661387342,0.017410738921693064,0.01666574692345897,0.0295237569670548,0.15769432410805442,-0.11370949204036887,0.26948673559490044,0.24802942201171,0.26086484415261163,0.22820894985042978,0.2258449295032557,0.09152081724678149,-0.11279881958221591,1.2079559547523135,1.2249086548551347,1.2131026359724513,1.2368087933427456,1.232958433305215,1.1955212271789424,0.9222512758421926,0.1188519290600529,0.22845939267548646,0.9017090175719754,0.2759153491708744,0.009187981127390117,0.4872948602676271,0.36388490868529916,0.7626565128877364,0.26245432654031753,0.58349609375,0.875,0.95751953125,0.00537109375,0.2999777126283262,0.006977492288293106,0.0036699449952839517,0.003871522326276762,0.0060081648079313805,0.006086978004563685,0.048780289960535406,0.2489257791719698,0.3757021158168198,1.6421438043672267,0.6861826094491207
C:\Users\李\Desktop\WorkDocument\Grade3-b\Singapore\rrg_other\client\fingerprint_data\lxj\stages\read_block0\formal-20260724T015735658680Z-266405a4.pm3,formal,lxj,lxj,36243,-12.211930579698148,18.54070003076792,22.2010992095951,14.189195154926468,9.92870969201383,-12.0,8.0,-26.0,-21.0,-4.0,0.0,17.0,0.62062876894471,32.38264405590801,0.6045476317013594,0.00645641917059846,0.00893965731313633,0.01539607648373479,0.30607289683525096,0.01876224374361946,0.017106751648594213,0.016279005601081586,0.43407002731561956,0.020638468117981403,0.019203708302292857,26.805174559152295,3.8537884222725016,1.4457477071884905,0.20785560501368433,2.7062290335084453,0.0,1.0,1.0,0.5567573533469455,0.01854202306715965,0.0179901771425418,0.01713481595938414,0.030351525853981567,0.15951546590877735,-0.04588221866610909,0.4858809234583191,0.4394798550577029,0.3754682383649051,0.38934245269443923,0.37518035359752044,0.18494823201234503,-0.10216992325299824,1.0133822502754792,1.0573263457174276,1.1146591587027899,1.0991477565867156,1.105898882451751,1.1082418036267254,0.8151393797619356,0.13144429972078156,0.24405330512815493,0.8855988011678725,2.069365118781558,0.00430427944706564,0.3592995099683571,0.3894560899170537,0.6723893421332962,0.21435838563959972,0.02978515625,0.87841796875,0.958984375,0.00537109375,0.4871173694245532,0.016694166354146618,0.004558027681179872,0.00390832413239545,0.004310511507843106,0.006643574420665328,0.025292568510799283,0.16986161583656825,0.2816138421318489,2.6485201412703216,-0.12634621228726506
